"SUID","AverageShortestPathLength","BetweennessCentrality","canonicalName","ClosenessCentrality","ClusteringCoefficient","Drug target","Eccentricity","EdgeCount","hiddenLabel","Indegree","IsSingleNode","MCODE_Cluster","MCODE_Node_Status","MCODE_Score","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","Rule change in X cell line","selected","SelfLoops","shared name","Stress"
"150","6.06206897","0.00957771","CREBBP","0.16496018","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","CREBBP","6.0","1","0","","false","0","CREBBP","307"
"151","4.92413793","0.03586289","PIK3CA","0.20308123","0.0","true","8","5","","3","false","","Unclustered","0.3333333333333333","PIK3CA","4.2","2","0","","false","0","PIK3CA","1919"
"152","4.63448276","0.06195503","CASP3","0.21577381","0.0",,"9","5","","2","false","","Unclustered","0.3333333333333333","CASP3","4.8","3","0","","false","0","CASP3","2063"
"153","4.62068966","0.10790764","PTEN","0.21641791","0.01785714","true","8","8","","5","false","Cluster 2|Cluster 1","Clustered","2.0","PTEN","6.875","3","0","SW620","false","0","PTEN","3614"
"154","4.8","0.01244513","RTPK_g","0.20833333","0.0",,"9","2","","1","false","","Unclustered","0.6666666666666666","RTPK_g","6.0","1","0","","false","0","RTPK_g","585"
"155","0.0","0.0","Antisurvival","0.0","0.0",,"0","3","","3","false","","Unclustered","0.5","Antisurvival","4.0","0","0","","false","0","Antisurvival","0"
"156","4.95172414","0.00987366","RHEB","0.20194986","0.0",,"8","3","","1","false","","Unclustered","0.5","RHEB","6.333333333333333","2","0","","false","0","RHEB","351"
"157","4.35172414","0.02135086","mTORC1_c","0.22979398","0.0",,"8","6","","3","false","","Unclustered","0.2857142857142857","mTORC1_c","6.166666666666667","3","0","","false","0","mTORC1_c","823"
"158","4.64827586","0.03853039","RAF_f","0.21513353","0.06666667",,"8","6","","4","false","Cluster 2","Clustered","2.0","RAF_f","8.5","2","0","AGS,SW620","false","0","RAF_f","1715"
"159","7.51034483","0.01045595","BCL2","0.13314968","0.0",,"12","2","","1","false","","Unclustered","0.6666666666666666","BCL2","3.0","1","0","","false","0","BCL2","417"
"160","3.35172414","0.16905512","AKT_f","0.29835391","0.02205882","true","6","17","","4","false","Cluster 6","Unclustered","0.7777777777777778","AKT_f","5.9411764705882355","13","0","SW620","false","0","AKT_f","7147"
"161","5.9862069","0.02452544","MDM2","0.16705069","0.06666667",,"10","6","","5","false","","Unclustered","1.2","MDM2","8.166666666666666","1","0","AGS,SW620","false","0","MDM2","1102"
"162","5.88275862","0.00441383","IRS1","0.16998828","0.0",,"9","4","","3","false","","Unclustered","0.4","IRS1","10.75","1","0","","false","0","IRS1","186"
"163","4.15172414","0.05965042","GSK3_f","0.24086379","0.05494505","true","8","14","","6","false","Cluster 2|Cluster 4","Seed","2.1999999999999997","GSK3_f","10.0","8","0","","false","0","GSK3_f","2404"
"164","5.6","0.04215645","CASP9","0.17857143","0.0",,"10","3","","2","false","","Unclustered","0.5","CASP9","5.333333333333333","1","0","","false","0","CASP9","1374"
"165","6.56551724","0.02338355","CYCS","0.15231092","0.0",,"11","3","","2","false","","Unclustered","0.5","CYCS","2.3333333333333335","1","0","","false","0","CYCS","737"
"166","3.87586207","0.04860896","MEK_f","0.25800712","0.08333333","true","7","5","","3","false","Cluster 2","Clustered","2.0","MEK_f","9.25","2","1","AGS,SW620","false","0","MEK_f","2114"
"167","3.93793103","0.03596919","PDPK1","0.25394046","0.0","true","8","6","","1","false","","Unclustered","0.2857142857142857","PDPK1","6.833333333333333","5","0","","false","0","PDPK1","1642"
