mutated_node	node_ko	drugs	growth	nb_fixpoints	stable_state
SRC%0	IKBKB%0,TGFBR1%0,ACVR1%0	60-SB	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111000111111100010000110001111101010001
SRC%0	IKBKB%0,JAK_f%0	60-RU	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	IKBKB%0,CK1_f%0,TGFBR1%0	60-D4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110010000110001111101010001
SRC%0	IKBKB%0,MYC%0	60-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110101111101010001
SRC%0	IKBKB%0,STAT3%0	60-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001101011001110110010000101111010111111110011000110001111101010001
SRC%0	IKBKB%0,PDPK1%0	60-G2	n/a	0	-
SRC%0	IKBKB%0,ROCK1%0	60-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	IKBKB%0,SYK%0	60-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101101011001110110010000101111010111111110011000110001111101010001
SRC%0	TGFBR1%0,ACVR1%0,JAK_f%0	SB-RU	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	TGFBR1%0,ACVR1%0,CK1_f%0,TGFBR1%0	SB-D4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	TGFBR1%0,ACVR1%0,MYC%0	SB-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110101111101010001
SRC%0	TGFBR1%0,ACVR1%0,STAT3%0	SB-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111000111111100010000110001111101010001
SRC%0	TGFBR1%0,ACVR1%0,PDPK1%0	SB-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111000111111100010000110101111101010010
SRC%0	TGFBR1%0,ACVR1%0,ROCK1%0	SB-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	TGFBR1%0,ACVR1%0,SYK%0	SB-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111000111111100010000110001111101010001
SRC%0	JAK_f%0,CK1_f%0,TGFBR1%0	RU-D4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	JAK_f%0,MYC%0	RU-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	JAK_f%0,STAT3%0	RU-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110011000110001111101010001
SRC%0	JAK_f%0,PDPK1%0	RU-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	JAK_f%0,ROCK1%0	RU-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	JAK_f%0,SYK%0	RU-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110001111101010001
SRC%0	CK1_f%0,TGFBR1%0,MYC%0	D4-F4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110101111101010001
SRC%0	CK1_f%0,TGFBR1%0,STAT3%0	D4-ST	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110010000110001111101010001
SRC%0	CK1_f%0,TGFBR1%0,PDPK1%0	D4-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110010000110101111101010010
SRC%0	CK1_f%0,TGFBR1%0,ROCK1%0	D4-G4	3.0	1	01113111111011001000011111111010110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	CK1_f%0,TGFBR1%0,SYK%0	D4-P5	3.0	1	01113111011011001000011111111010110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110010000110001111101010001
SRC%0	MYC%0,STAT3%0	F4-ST	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111001111011001110111010000101111010111111110011000110101111101010001
SRC%0	MYC%0,PDPK1%0	F4-G2	1.0	1	01111111111011001000001111111100110100010100001111110000111111011110101110000111111111011001110111010000101111010111111110011000110101111101010010
SRC%0	MYC%0,ROCK1%0	F4-G4	2.0	1	01112111111011001000001111111100110100001100001111110000111111011110101111111111101111011001110111010000101111010111111110011000110101111101010001
SRC%0	MYC%0,SYK%0	F4-P5	2.0	1	01112111011011001000001111111100110100001100001111110000111111011110100001111111101111011001110111010000101111010111111110011000110101111101010001
