node_ko	drugs	growth	nb_fixpoints	stable_state
IKBKB%0,SYK%0	60-P5	n/a	0	-
TGFBR1%0,ACVR1%0,JAK_f%0	SB-RU	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101101011110001010111000000111101100111100101100110011011111101010001
TGFBR1%0,ACVR1%0,CK1_f%0,TGFBR1%0	SB-D4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
TGFBR1%0,ACVR1%0,MYC%0	SB-F4	2.0	1	11112011110111010100101111111100110001011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110010111111101010001
TGFBR1%0,ACVR1%0,STAT3%0	SB-ST	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101001011110011010111000000111101100111100101100110011011111101010001
TGFBR1%0,ACVR1%0,PDPK1%0	SB-G2	1.0	1	11111011110111010100101111111100110001010100001111110010110111111110011110001101111011110011010111000000111101100111100101100110010111111101010011
TGFBR1%0,ACVR1%0,ROCK1%0	SB-G4	3.0	1	11113011110111010000011111111010111100011100001111110010110111111110011111111101101011110011010111000000111101100111100101100110011011111101010001
TGFBR1%0,ACVR1%0,SYK%0	SB-P5	1.0	2	11103011010101000010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101000000111011000111101100;11103011010101010010011111111011111100011100001010012111010011111100000001101001110011110010010111000111111101100111100101000110011011000111101100;
JAK_f%0,CK1_f%0,TGFBR1%0	RU-D4	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101101011110001010111000000111101100111100101100110011011111101010001
JAK_f%0,MYC%0	RU-F4	2.0	1	11112011110011010100101111111100110001011100001111110010110111111110011111111101101011110001010111000000111101100111100101101110010111111101010001
JAK_f%0,STAT3%0	RU-ST	3.0	1	11113011110011010000011111111010111100011100001111110010110111111110011111111101001011110001010111000000111101100111100101101110011011111101010001
